batch_id,policy,steps,runtime,total_trim_loss,remaining_stocks,used_stocks,avg_used_stock_area
1,First-Fit,18,0.787016153,1224,7,3,1387.333333
1,Best-Fit,18,1.589333773,908,4,6,641
1,Combination,18,0.658778667,1224,7,3,1387.333333
2,First-Fit,15,0.477717876,1634,8,2,1912.5
2,Best-Fit,15,1.870851517,1595,4,6,631
2,Combination,15,0.494894505,1634,8,2,1912.5
3,First-Fit,14,0.444450617,326,8,2,1244
3,Best-Fit,14,0.998245955,480,5,5,528.4
3,Combination,13,0.418720722,1988,6,4,1037.5
4,First-Fit,16,0.621213675,812,8,2,1895
4,Best-Fit,16,1.625309944,1987,3,7,709.2857143
4,Combination,15,0.583982468,1618,7,3,1532
5,First-Fit,11,0.294062138,916,8,2,1223
5,Best-Fit,11,0.821420908,635,5,5,433
5,Combination,11,0.304605246,916,8,2,1223
6,First-Fit,11,0.295972347,966,8,2,1201
6,Best-Fit,11,0.761888027,787,5,5,444.6
6,Combination,11,0.289348841,966,8,2,1201
7,First-Fit,10,0.285581827,1255,8,2,1426
7,Best-Fit,10,0.868008137,1308,5,5,581
7,Combination,10,0.281077385,1255,8,2,1426
8,First-Fit,13,0.397331953,949,8,2,1567
8,Best-Fit,13,1.308648109,720,5,5,581
8,Combination,13,0.425593615,949,8,2,1567
9,First-Fit,16,0.673413754,1088,8,2,2028
9,Best-Fit,16,1.882627726,987,5,5,791
9,Combination,16,0.611409426,1088,8,2,2028
10,First-Fit,12,0.36899972,545,9,1,2107
10,Best-Fit,12,1.453684807,1163,5,5,545
10,Combination,12,0.335972071,545,9,1,2107
1,PPO,342,3.444988728,4033,3,7,342.5714286
2,PPO,61,0.270758867,4397,5,5,404.4
3,PPO,135,0.512412071,3064,4,6,304.3333333
4,PPO,122,0.505470037,4233,4,6,467.3333333
5,PPO,68,0.267317772,2818,5,5,240.4
6,PPO,90,0.317175865,2010,5,5,218.2
7,PPO,118,0.401661396,1865,7,3,478.3333333
8,PPO,88,0.332581043,3801,5,5,437
9,PPO,195,0.762559891,4184,4,6,486.1666667
10,PPO,34,0.129530668,4831,4,6,229.3333333
1,Q-Learning,,0.015648127,4237,2,8,367.25
2,Q-Learning,,0,6580,2,8,273.875
3,Q-Learning,,0,1630,4,6,360.3333333
4,Q-Learning,,0,4714,3,7,425.4285714
5,Q-Learning,,0.001999617,5274,2,8,191.25
6,Q-Learning,,0,2180,4,6,239.3333333
7,Q-Learning,,0.001405239,5495,2,8,199.625
8,Q-Learning,,0,1745,6,4,546.25
9,Q-Learning,,0.004154444,7627,1,9,329.7777778
10,Q-Learning,,0,4212,3,7,223.1428571
